0: 250,279,217,147,275
1: 63,112,217
2: 63,3,117,112,212
3: 2,63,148,149,117
4: 64,280,302,177,276
5: 6,150,219
6: 5,219,113,195
7: 110,67,119,214,8
8: 9,7,214
9: 8,120,68,152,207,214
10: 257,266
11: 155,281
12: 13,71
13: 
14: 
15: 
16: 
17: 
18: 190,72,73,185,288
19: 20,123,178,74,185
20: 19,178,282
21: 124,223,75
22: 156,224
23: 126,24,314
24: 158,179,271,314,78,126,23
25: 78,80,127,270
26: 79,231,218,287,127
27: 28,128,180,81,258
28: 27,128,258
29: 83,129,316
30: 196,208,31
31: 84,203,197,208,196,30
32: 85,130,289,131,33
33: 87,187,131,32
34: 87,86,204,88,198,262
35: 36,88,198,164,89,181
36: 35,164,89,272,199
37: 325,132,225,239
38: 39,298,91,92,200
39: 38,133,166,240,92
40: 41,135,233,134,94
41: 135,40,241,168,167,94
42: 96,168,201,254,299
43: 189,283,305,263
44: 137,226,284,305
45: 189,137,284,138,97
46: 
47: 259,99,170,255
48: 140,171,315,101,264,292
49: 50,273,234,285,141,182
50: 49,273,260,141,310
51: 103,194,209,256,260,310
52: 103,194,183,111
53: 54,104,105,142,286,268
54: 53,286,306,309
55: 106,144,227,143
56: 206,107,293,210,304
57: 193,145,174
58: 221,59,220,115
59: 146,116,220,115,58
60: 261,277,146,109
62: 176,147,275,287
63: 1,2,3,148,112
64: 149,118,4,244,302
65: 118,280,302,245,318
66: 195,184,119
67: 7,110,119,303
68: 153,152,322,207,9,214
69: 153,152,319,121,257
70: 11,122,154
71: 13,228,295
72: 18,190,98,138
73: 18,185,288,186,74
74: 19,178,186,73,185
75: 21,124,223,229,282
76: 125,249,223
77: 323,158,125,179,230
78: 25,270,24,158,271
79: 26,160,231,127
80: 25,127,161,218
81: 27,128,180,202,251
82: 316,128,251,162
83: 29,163,252,232
84: 31,85,203,289,308
85: 32,84,289,131,215
86: 87,187,34,262
87: 33,86,187,204,34
88: 35,198,164,262,34
89: 35,36,181,225,253,324
90: 188,325,91,216,200,239
91: 92,211,216,38,90,200
92: 91,211,38,39,166
93: 233
94: 134,167,41,40
95: 167,168,254
96: 42,169,254,263,283
97: 138,317,189,45
98: 190,72,290,138
99: 47,259,170,291
100: 101,264,255
101: 100,264,292,48
102: 172,234
103: 51,52,194,173,183,256
104: 53,105,142,307,183,192
105: 53,104,307,268,205,301
106: 55,107,293
107: 56,106,293,235,210,274
108: 221,304,193
109: 146,60,277,175
110: 7,67,214,303,207
111: 52,194,265
112: 212,1,2,63,217
113: 195,184,6,177,219,276
114: 208,232,203
115: 59,222,145,221,58
116: 59,146,261,222,213,313
117: 149,118,318,2,3
118: 149,64,65,117,302,318
119: 7,67,66
120: 9,266,152
121: 154,257,69,247,319
122: 70,281,12
123: 19,236,185
124: 21,75,178,282
125: 77,179,314,76,224
126: 267,23,24,271
127: 25,80,26,79,160,218
128: 27,28,81,82,316,251
