0: 62,147,1
1: 63,112,0
2: 63,3,117,112
3: 2,148,149,117
4: 5,150,113,64
5: 6,150,4,113
6: 5,66,113
7: 110,67,8,119
8: 9,7,110
9: 8,120,152
10: 121,69
11: 70,122,155
12: 13,71
13: 
14: 
15: 
16: 
17: 
18: 98,72,73
19: 20,123,74,73
20: 19,74,124
21: 124,75
22: 23,125
23: 24,77,125,126,158,22
24: 23,126,158,78
25: 78,80,127,160
26: 79,147,161,80,127
27: 28,128,81
28: 27,128
29: 82,83,129
30: 114,31
31: 84,30
32: 85,130,131,33
33: 86,131,32
34: 35,88,87
35: 36,88,34,89
36: 35,164,89
37: 90,132,89,165
38: 39,91,92
39: 38,133,166,92
40: 41,93,135,134,94
41: 135,40,168,167,94
42: 96,168,169
43: 97,136,137
44: 137
45: 97,137,98,138
46: 
47: 46,139,170,99
48: 99,100,140,171,101
49: 102,141,101,171
50: 172,51,141
51: 103,111,50
52: 103,173,104
53: 54,104,105,142
54: 53,143,144
55: 144,143
56: 106,107,108
57: 108,145,174
58: 115,59,145
59: 116,146,115,58
60: 109,146
62: 0,147
63: 1,2,148,112
64: 149,118,65,4
65: 64,150
66: 113,119,6
67: 7,110,151
68: 153,152
69: 153,152,10,121
70: 11,122,154
71: 13,12,155
72: 18,98,138
73: 18,74,19
74: 20,19,73
75: 156,21
76: 77,125,157
77: 23,76,125,158
78: 25,159,24
79: 26,160,127
80: 25,127,161,26
81: 175,27,128
82: 29,162,128
83: 29,114,163
84: 31,85
85: 32,84,131
86: 33,87,131
87: 86,34
88: 35,34,164
89: 35,36,37,165
90: 37,91,132
91: 92,38,90
92: 91,38,39
93: 40,166
94: 134,167,41,40
95: 167,168
96: 42,169
97: 43,137,45
98: 18,72,138,45
99: 48,100,140,47,139,170
100: 48,99,170
101: 49,48,171
102: 49,172
103: 51,52,111,173
104: 53,105,142,52
105: 53,104
106: 56,144
107: 174,56
108: 57,174,56
109: 60,146,175
110: 7,67,8
111: 51,103
112: 1,2,63
113: 66,5,6,4
114: 83,30
115: 59,116,145,58
116: 59,146,115
117: 118,2,3
118: 149,64,117
119: 66,7
120: 9,152
121: 10,154,69
122: 11,70,155,12
123: 19
124: 21,20
125: 23,76,77,22
126: 23,24
127: 25,80,26,79,160
128: 27,28,82,162,81
129: 29
130: 32
131: 33,86,32,85
132: 90,37
133: 39,166
134: 94,40,166
135: 41,40
136: 43,169
137: 44,43,97,45
138: 98,72,45
139: 46,47,99
140: 48,99
141: 50,49,172
142: 53,104
143: 54,55,144
144: 55,106,54,143
145: 57,115,58
146: 59,60,116,109
147: 0,62,161,26
148: 63,3
149: 118,64,3
150: 5,4,65
151: 67
152: 69,68,153,9,120
153: 69,68,152
154: 70,121
155: 11,122,12,71
156: 75
157: 76
158: 23,24,77,159
159: 78,158
160: 79,25,127
161: 147,26,80
162: 82,128
163: 83
164: 36,88
165: 37,89
166: 39,133,93,134
167: 95,168,41,94
168: 42,95,167,41
169: 42,96,136
170: 47,99,100
171: 48,49,101
172: 50,102
173: 52,103
174: 57,107,108
175: 81,109
