0: 250,279,147
1: 63,112,217
2: 63,3,117,112
3: 2,63,148,149,117
4: 64,280,177
5: 6,150,219
6: 5,219,113,195
7: 110,67,119,214,8
8: 9,7,214
9: 8,120,68,152,207,214
10: 257,266
11: 155,281
12: 13,71
13: 
14: 
15: 
16: 
17: 
18: 190,72,73,185,288
19: 123,178,74,185
20: 178,282
21: 124,223,75
22: 156,224
23: 24,179,126
24: 23,158,179,271,78,126
25: 78,80,127,270
26: 79,231,287,127,218
27: 28,128,180,81
28: 27,128,258
29: 82,129,83
30: 196,208,31
31: 84,203,197,208,196,30
32: 85,130,289,131,33
33: 187,131,32
34: 87,86,204,88,198,262
35: 36,88,198,164,89,181
36: 35,164,89,272,199
37: 188,132,225,239
38: 39,298,91,92,200
39: 38,133,166,240,92
40: 41,135,233,134,94
41: 135,40,241,168,167,94
42: 96,168,254,299
43: 189,137,283,263
44: 137,226,284
45: 189,137,284,138,97
46: 
47: 259,99,170,255
48: 191,140,171,170,101,264,292
49: 50,273,234,285,141,182
50: 49,273,260,141
51: 103,194,209,256,260
52: 103,194,183
53: 54,104,105,142,286,268
54: 53,286,144
55: 106,144,227,143
56: 206,107,293,210
57: 193,145,174
58: 221,59,220,115
59: 146,116,220,115,58
60: 261,277,146,109
62: 176,147,275,287
63: 1,2,3,148,112
64: 149,118,65,4,244,280
65: 118,64,280,245
66: 195,184,119
67: 7,110,151,119
68: 153,152,207,9,214
69: 153,152,121,257
70: 11,122,154
71: 13,228,295
72: 18,190,98,138
73: 18,185,288,74
74: 19,178,186,73,185
75: 21,124,223,229,282
76: 125,249,223
77: 158,125,179,230
78: 25,270,24,158,271
79: 26,160,231
80: 25,127,218,161
81: 27,128,180,202,251
82: 29,162,128
83: 29,163,252,232
84: 31,85,203,197,289
85: 32,84,289,131,215
86: 87,187,34,262
87: 86,187,204,34
88: 35,198,164,262,34
89: 35,36,225,253,181
90: 188,91,216,200,239
91: 92,211,216,38,90,200
92: 91,211,38,39
93: 233
94: 134,167,41,40
95: 167,168,254
96: 42,169,254,263,283
97: 138,189,45
98: 190,72,290,138
99: 47,259,170,291
100: 101,264,255
101: 100,264,292,48
102: 172,234
103: 51,52,194,173,256
104: 53,105,142,192,183
105: 53,104,192,268,205,301
106: 55,144,107,293
107: 56,106,293,235,210,274
108: 221,193,210
109: 146,60,277,175
110: 7,67,214,207
