0: 250,217,147
1: 63,112,217
2: 63,3,117,112
3: 2,63,148,149,117
4: 64,65,150,177,245
5: 6,150,219
6: 5,219,113,195
7: 110,67,119,214,8
8: 9,7,214
9: 8,120,68,152,207,214
10: 121,69
11: 122,155
12: 13,71
13: 
14: 
15: 
16: 
17: 
18: 190,72,73,185
19: 123,178,74,185
20: 178,124
21: 124,223,75
22: 224
23: 24,179,126
24: 23,158,179,78,126
25: 78,80,127,160
26: 79,218,231,127
27: 28,128,180,81
28: 27,128
29: 82,129,83
30: 196,208,31
31: 84,203,197,208,196,30
32: 85,130,131,33
33: 187,131,32
34: 87,86,88,198
35: 36,88,198,164,89,181
36: 35,164,89,199
37: 188,132,225,239
38: 39,91,92,200
39: 38,133,166,240,92
40: 41,93,135,233,134,94
41: 135,40,241,168,167,94
42: 96,168,201,254
43: 189,136,137,96
44: 137,226
45: 189,137,98,138,97
46: 
47: 46,139,170,99
48: 191,140,171,101,100,170
49: 50,172,234,141,182
50: 49,172,51,141
51: 103,194,209,50
52: 103,194,183
53: 54,104,105,142,143
54: 53,143,144
55: 106,144,227,143
56: 106,206,107,210
57: 193,145,174
58: 221,59,220,115
59: 146,116,220,115,58
60: 146,109
62: 176,147,218
63: 1,2,3,148,112
64: 149,118,65,4,244
65: 118,64,4,245
66: 195,184,119
67: 7,110,151,119
68: 153,152,207,9
69: 153,152,10,121
70: 11,122,154
71: 13,228
72: 18,190,98,138
73: 18,185
74: 19,178,186,185
75: 21,124,223,229
76: 125,249,223
77: 158,125,179,230
78: 25,159,24,158
79: 26,160,231,127
80: 25,127,161,218
81: 27,128,180,202,251
82: 29,162,128
83: 29,252,232
84: 31,85,203,197
85: 32,84,131,215
86: 87,187,34
87: 86,187,204,34
88: 35,198,164,34
89: 35,36,225,253,181
90: 188,91,216,200,239
91: 92,211,216,38,90,200
92: 91,211,38,39
93: 40,233
94: 134,167,41,40
95: 167,168,254
96: 42,169,254,43
97: 138,189,45
98: 190,72,138,45
99: 191,47,139,170
100: 101,48,255,170
101: 100,48,171
102: 172,234
103: 51,52,194,173,256
104: 53,105,142,192,183
105: 53,104,143,192,205
106: 55,56,144,206,107
107: 56,106,235,174,210
108: 221,193,210
109: 146,60,175
110: 7,67,214,207
111: 194
112: 212,1,2,63
113: 195,184,6,177,219
114: 208,232,203
115: 59,222,145,221,58
116: 59,146,222,213
117: 149,118,2,3
118: 64,65,117
119: 7,67,66
120: 9,152
121: 10,154,69,247
122: 11,70,155,12
123: 19,236,185
124: 21,75,20,178
125: 77,179,76,224
126: 160,23,24
127: 25,80,26,79,160,218
128: 27,28,81,82,251
129: 29,237
130: 32,238
131: 215,33,187,32,85
132: 165,225,239,37
133: 39,166,240
134: 94,240,40,233,166
135: 41,40,241
136: 43,169
137: 44,43,189,45
138: 97,72,98,45
139: 46,47,99
140: 48,191,171
141: 182,50,49
142: 53,104,243
143: 53,54,105,55,144
144: 55,106,206,54,143
145: 57,193,115,221
146: 59,116,109,60
147: 176,62,0,250,218
148: 63,3
149: 64,117,244,3
150: 5,219,245,4
151: 67,246
152: 69,68,153,9,120
153: 69,68,152
154: 70,121,247
155: 11,122,12,228
156: 248,229
157: 249
158: 24,77,179,78,159
159: 78,158
160: 79,25,127,126
161: 250,218,80
162: 82,251
163: 252
164: 35,36,88,199
165: 132,225,253
166: 39,133,233,134,240
167: 95,168,41,94
168: 42,254,95,167,41
169: 96,254,136
170: 47,100,48,99,255
171: 48,140,182,101
172: 50,102,49,234
173: 103,243,256
174: 57,235,193,210,107
175: 202,180,109
176: 62,217,147
177: 219,113,4
178: 20,19,74,124
179: 23,24,158,77,125
180: 27,81,202,175
181: 35,198,89
182: 141,49,171
183: 52,104,192
184: 66,113,195
185: 18,73,19,123,74
186: 74
187: 33,87,86,131
188: 90,37,239
189: 43,137,45,97
190: 18,72,98
191: 48,99,140
192: 104,105,183
193: 57,145,174,210,221,108
194: 51,52,103,111
195: 66,113,184,6
196: 30,31,197
197: 31,84,196
198: 35,88,181,34
199: 36,164
200: 239,91,38,90
201: 42
202: 175,180,81
203: 31,84,114
204: 87
205: 105
206: 56,106,144
207: 68,9,110,214
208: 114,232,31,30
209: 51
210: 193,174,108,56,107
211: 91,92,216
212: 112
213: 222,116
214: 7,110,207,9,8
215: 131,85
216: 91,211,90
217: 176,1,0
218: 26,62,147,161,250,80,127
219: 5,6,150,177,113
220: 59,58
221: 108,58,115,193,145
222: 213,116,115
223: 21,75,76
224: 22,125
225: 132,165,37,89,253
226: 44
227: 55
228: 13,12,71,155
229: 248,156,75
230: 249,77
231: 26,79
232: 114,208,252,83
233: 93,40,134,166
234: 102,49,172
235: 174,107
236: 123
237: 129
238: 130
239: 132,200,90,37,188
240: 134,39,133,166
241: 41,135
242: 136,169
243: 142,173
244: 149,64
245: 150,65,4
246: 151
247: 154,121
248: 156,229
249: 157,230,76
250: 161,0,147,218
251: 128,81,162
252: 163,232,83
253: 165,225,89
254: 42,96,168,169,95
255: 100,170
256: 103,173
